DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201108104,04/07/2020 12:00:00 AM,04/06/2020 12:00:00 AM,1900,11,Northeast,1162,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4300    GATEWAY                      AV,,34.0941,-118.2835
200116579,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,0405,01,Central,0151,1,310,BURGLARY,1601 0344 1403 1822 1414 1420,0,X,X,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,,,,500 S  FREMONT                      AV,,34.0526,-118.2582
200321584,12/11/2020 12:00:00 AM,07/01/2020 12:00:00 AM,0900,03,Southwest,0398,2,354,THEFT OF IDENTITY,0100 0917 1822,27,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 W  41ST                         DR,,34.0087,-118.2866
200815069,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1400,08,West LA,0819,1,320,"BURGLARY, ATTEMPTED",1202 1607 1822,68,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,200    WOODRUFF                     AV,,34.0768,-118.4352
201214966,06/19/2020 12:00:00 AM,06/09/2020 12:00:00 AM,0001,12,77th Street,1255,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202,63,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,76TH                         ST,VERMONT                      AV,33.9711,-118.2918
201108147,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,0745,11,Northeast,1135,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0361 1202,63,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,745,,,,2200    MARICOPA                     DR,,34.1105,-118.2239
200808438,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1930,08,West LA,0842,1,330,BURGLARY FROM VEHICLE,1402 0202 0216 1309 1609 0913 1814,25,F,W,707,GARAGE/CARPORT,,,AA,Adult Arrest,330,998,,,11700    TEXAS                        AV,,34.0472,-118.459
201004548,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1316,10,West Valley,1043,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1100 0913,18,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,AA,Adult Arrest,930,,,,18600    HATTERAS                     ST,,34.1774,-118.5387
201109103,05/07/2020 12:00:00 AM,05/07/2020 12:00:00 AM,0140,11,Northeast,1109,2,888,TRESPASSING,0913 2004,60,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,1400 W  HILL                         DR,,34.1441,-118.1952
200310106,04/19/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1600,03,Southwest,0314,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1300,38,M,H,101,STREET,,,IC,Invest Cont,420,,,,2500    4TH                          AV,,34.0344,-118.3212
